Date,EURBRL
01/01/2009,"3,2526704"
02/01/2009,"3,2192334"
05/01/2009,"3,0224194"
06/01/2009,"2,8872222"
07/01/2009,"2,957207"
08/01/2009,"3,03333762"
09/01/2009,"3,01741812"
12/01/2009,"3,0347104"
13/01/2009,"2,96888015"
14/01/2009,"3,04434557"
15/01/2009,"3,05607708"
16/01/2009,"3,042723"
19/01/2009,"2,98802075"
20/01/2009,"2,97965625"
21/01/2009,"2,99355772"
22/01/2009,"2,99108009"
23/01/2009,"2,9822093"
26/01/2009,"2,98504668"
27/01/2009,"2,9953871"
28/01/2009,"2,9409839"
29/01/2009,"2,898336"
30/01/2009,"2,9041079"
02/02/2009,"2,997774"
03/02/2009,"3,001407"
04/02/2009,"2,93958126"
05/02/2009,"2,927994"
06/02/2009,"2,91946746"
09/02/2009,"2,9019914"
10/02/2009,"2,9221785"
11/02/2009,"2,90632878"
12/02/2009,"2,9452824"
13/02/2009,"2,9016672"
16/02/2009,"2,9000268"
17/02/2009,"2,913196"
18/02/2009,"2,9512836"
19/02/2009,"2,97810115"
20/02/2009,"3,09067745"
23/02/2009,"3,0172857"
24/02/2009,"3,0664444"
25/02/2009,"3,0442104"
26/02/2009,"2,9810992"
27/02/2009,"3,0029444"
02/03/2009,"3,0613594"
03/03/2009,"3,056067"
04/03/2009,"2,9950472"
05/03/2009,"2,983201"
06/03/2009,"2,9975274"
09/03/2009,"2,9848824"
10/03/2009,"2,97939876"
11/03/2009,"2,99180504"
12/03/2009,"2,98955072"
13/03/2009,"2,98161255"
16/03/2009,"2,8657215"
17/03/2009,"2,9654977"
18/03/2009,"3,10160539"
19/03/2009,"3,0750911"
20/03/2009,"3,0742856"
23/03/2009,"3,091059"
24/03/2009,"3,0247772"
25/03/2009,"3,03903525"
26/03/2009,"3,02382558"
27/03/2009,"3,02377906"
30/03/2009,"3,0621786"
31/03/2009,"3,0551601"
01/04/2009,"3,01605045"
02/04/2009,"2,9970966"
03/04/2009,"2,96597598"
06/04/2009,"2,9776986"
07/04/2009,"2,95532743"
08/04/2009,"2,9114225"
09/04/2009,"2,8607775"
10/04/2009,"2,87316303"
14/04/2009,"2,88922941"
15/04/2009,"2,901565"
16/04/2009,"2,8690683"
17/04/2009,"2,8461104"
20/04/2009,"2,88266275"
21/04/2009,"2,8952509"
22/04/2009,"2,8615201"
23/04/2009,"2,9002135"
24/04/2009,"2,90748425"
27/04/2009,"2,8594524"
28/04/2009,"2,82816504"
29/04/2009,"2,86339842"
30/04/2009,"2,86988848"
01/05/2009,"2,890898"
04/05/2009,"2,86109616"
05/05/2009,"2,85816797"
06/05/2009,"2,8104065"
07/05/2009,"2,81673936"
08/05/2009,"2,8269501"
11/05/2009,"2,78526824"
12/05/2009,"2,8099818"
13/05/2009,"2,85491301"
14/05/2009,"2,86088505"
15/05/2009,"2,80563216"
18/05/2009,"2,81543688"
19/05/2009,"2,7870624"
20/05/2009,"2,77816154"
21/05/2009,"2,83273625"
22/05/2009,"2,83332"
25/05/2009,"2,82935206"
26/05/2009,"2,84534967"
27/05/2009,"2,782596"
28/05/2009,"2,79144976"
29/05/2009,"2,78168562"
02/06/2009,"2,7762123"
03/06/2009,"2,7534306"
04/06/2009,"2,75273254"
05/06/2009,"2,7323364"
08/06/2009,"2,74617904"
09/06/2009,"2,73071282"
10/06/2009,"2,72307937"
11/06/2009,"2,7464382"
12/06/2009,"2,6887"
15/06/2009,"2,69802225"
16/06/2009,"2,72046225"
17/06/2009,"2,7577365"
18/06/2009,"2,6585832"
19/06/2009,"2,72080895"
22/06/2009,"2,7890344"
23/06/2009,"2,8146"
24/06/2009,"2,735028"
25/06/2009,"2,74150698"
26/06/2009,"2,711071"
29/06/2009,"2,75229528"
30/06/2009,"2,75518236"
01/07/2009,"2,7254586"
02/07/2009,"2,72719746"
03/07/2009,"2,72273156"
04/07/2009,"2,72852874"
05/07/2009,"2,6570068"
06/07/2009,"2,75734628"
07/07/2009,"2,7307605"
08/07/2009,"2,77406344"
09/07/2009,"2,72124825"
10/07/2009,"2,80389237"
11/07/2009,"2,73758784"
13/07/2009,"2,78315496"
14/07/2009,"2,74883056"
15/07/2009,"2,72412452"
16/07/2009,"2,72601121"
17/07/2009,"2,71562214"
